beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-08-15 16:15:05",https://untappd.com/c/348982027,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,348982027,10839,241,,2.75,2.76
Citra,"Oakham Ales","Golden Ale",4.2,0,,,,,,,,2.75,"2016-08-15 16:15:27",https://untappd.com/c/348982089,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England,Peterborough,"City of Peterborough",,,,348982089,14646,931,,3.67,3.67
"Juicebox Citrus IPA","Fourpure Brewing Co","IPA - American",5.9,56,,,,,,,,3,"2016-08-15 16:15:45",https://untappd.com/c/348982144,https://untappd.com/beer/1480506,https://untappd.com/brewery/86957,England,Bermondsey,London,,,,348982144,1480506,86957,,3.73,3.73
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-08-17 17:15:30",https://untappd.com/c/349492735,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,349492735,10839,241,,2.75,2.76
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-08-20 14:35:40",https://untappd.com/c/350638413,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,350638413,10839,241,,2.75,2.76
"Proper Job","St Austell Brewery","IPA - English",4.5,0,,,,,,,,3.5,"2016-08-20 14:35:41",https://untappd.com/c/350638334,https://untappd.com/beer/5513,https://untappd.com/brewery/1186,England,"St. Austell",Cornwall,,,,350638334,5513,1186,,3.49,3.5
"Anchor Steam Beer","Anchor Brewing Company","California Common",4.8,35,,,,,,,,3.25,"2016-08-20 14:35:53",https://untappd.com/c/350638382,https://untappd.com/beer/6204,https://untappd.com/brewery/3891,"United States","San Francisco",CA,,,,350638382,6204,3891,,3.5,3.5
"Dublin Porter",Guinness,"Porter - Other",3.8,30,,,,,,,,3.25,"2016-08-20 22:29:56",https://untappd.com/c/350935363,https://untappd.com/beer/800412,https://untappd.com/brewery/49,Ireland,"St. James's Gate",Dublin,,,,350935363,800412,49,,3.32,3.32
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-08-22 12:35:35",https://untappd.com/c/351697565,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,351697565,10839,241,,2.75,2.76
"Common Grounds","Magic Rock Brewing","Porter - Coffee",5.4,0,,,,,,,,3.75,"2016-08-23 23:07:49",https://untappd.com/c/352028268,https://untappd.com/beer/1327084,https://untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire",,,,352028268,1327084,13156,,3.76,3.76
"Made North","Thornbridge Brewery","English Bitter",3.8,0,,,,,,,,3,"2016-08-24 17:11:59",https://untappd.com/c/352201687,https://untappd.com/beer/717880,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire,,,,352201687,717880,2047,,3.21,3.29
"Elderflower And Rosewater Pale","Almasty Brewing Co.","Pale Ale - English",4.2,0,"Not my thing ):",,,,,,,0.75,"2016-08-24 17:12:25",https://untappd.com/c/352201809,https://untappd.com/beer/1656339,https://untappd.com/brewery/147611,England,"Newcastle upon Tyne","Tyne and Wear",,,,352201809,1656339,147611,,3.69,3.66
"Big Red","Ossett Brewery","Red Ale - American Amber / Red",4,0,"Great malt character, well hopped and bitter sweet finish.","The Hop",York,"North Yorkshire","United Kingdom",53.9587,-1.07877,3.25,"2016-08-25 12:14:15",https://untappd.com/c/352459017,https://untappd.com/beer/59638,https://untappd.com/brewery/3711,England,Ossett,"West Yorkshire",,,,352459017,59638,3711,,3.45,3.47
"Elvis Juice",BrewDog,"IPA - American",6.5,40,,,,,,,,3,"2016-08-26 12:27:19",https://untappd.com/c/352788830,https://untappd.com/beer/1441008,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,352788830,1441008,241,,3.8,3.8
"High Wire Grapefruit","Magic Rock Brewing","Pale Ale - American",5.5,35,"Must keep track of beer today","Bramham Park",Bramham,,"United Kingdom",53.8692,-1.38014,4,"2016-08-27 11:03:08",https://untappd.com/c/353309226,https://untappd.com/beer/1127731,https://untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire",,,,353309226,1127731,13156,,3.64,3.64
"Courage Directors","Eagle Brewery (formerly Charles Wells)","Extra Special / Strong Bitter",4.8,35,,"Leeds Festival",,,"United Kingdom",53.864,-1.38947,3.25,"2016-08-27 12:53:22",https://untappd.com/c/353320863,https://untappd.com/beer/6172,https://untappd.com/brewery/1348,England,Bedford,Bedfordshire,,,,353320863,6172,1348,,3.31,3.32
"Somersby Apple Cider","Carlsberg Group","Cider - Sweet",4.5,0,"Somersby is ewww","Leeds Festival",,,"United Kingdom",53.864,-1.38947,1,"2016-08-27 13:25:56",https://untappd.com/c/353326207,https://untappd.com/beer/56093,https://untappd.com/brewery/344,Denmark,Copenhagen,"Region Hovedstaden",,,,353326207,56093,344,,3.27,3.27
"Courage Directors","Eagle Brewery (formerly Charles Wells)","Extra Special / Strong Bitter",4.8,35,,,,,,,,3.25,"2016-08-28 17:33:19",https://untappd.com/c/354069821,https://untappd.com/beer/6172,https://untappd.com/brewery/1348,England,Bedford,Bedfordshire,,,,354069821,6172,1348,,3.31,3.32
"Punk IPA",BrewDog,"IPA - American",5.6,35,,"Leeds Festival",,,"United Kingdom",53.864,-1.38947,2.75,"2016-08-28 17:33:55",https://untappd.com/c/354070065,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,354070065,5702,241,,3.78,3.78
